Date,Title,Attendees,URL,Source,GPX,Start,End,Distance
2024-10-26,Autumn woods on the Danelaw border (15 miles),88.0,304025674,Free,gpx\07\St_Margaret_s_to_Hertford.gpx,St Margarets (Herts),Hertford East,26237
2024-11-02,"Epping Forest Autumn Colours (8, 15 or 20 miles)",157.0,304115534,Free,gpx\07\John_Merrill_Challenge_Walk_Epping_Forest__time-corrected.gpx,Enfield Lock,Enfield Lock,34744
2024-11-09,Salamander's Hill (14 miles) ,147.0,304231595,Free,gpx\07\Farncombe_to_Guildford.gpx,Farncombe,Guildford,22938
2024-11-16,Autumn woods of a young Queen (14 miles) ,120.0,304417915,Free,gpx\07\Welwyn_to_Hatfield.gpx,Welwyn Garden City,Hatfield (Herts),23463
2024-11-23,Castle Christmas Market hike (14 miles),61.0,304485284,Free,gpx\07\Hertford_circular_via_Sacombe.gpx,Hertford East,Hertford East,23323
2024-11-30,Milton's Hill (14 miles) ,101.0,304619488,Free,gpx\07\Amersham_Circular.gpx,Amersham,Amersham,20852
2024-12-07,Penshurst Christmas (14 miles) ,39.0,304754958,Free,gpx\02\Tunbridge_to_Tunbridge_Wells_Stormy_weather_with_only_12_brave_hikers__time-corrected.gpx,Tonbridge,Tunbridge Wells,19575
2024-12-14,Christmas Party walk🧑‍🎄 (13 miles),99.0,304783079,Free,gpx\07\Guildford_Christmas_Hike.gpx,Guildford,Guildford,19578
2024-12-21,Challenger to Kingston Xmas Market (12 miles) ,83.0,304899540,Free,gpx\07\Chessington_to_Kingston.gpx,Chessington South,Kingston,19378
2024-12-28,Motte de Valognes (15 miles),64.0,305097717,Free,gpx\02\Watton_at_Stone_Circular__time-corrected.gpx,Watton-at-Stone,Watton-at-Stone,26113
2025-01-04,Straw Hill & Mapledurham (14 miles) ,98.0,305217501,Free,gpx\07\Reading_Circular.gpx,Reading,Reading,23137
2025-01-11,Turn over a new Leafe (14 miles) ,156.0,305253067,Free,gpx\02\Hayes_to_Upper_Warlingham_Very_white_hike__time-corrected.gpx,Hayes (Kent),Upper Warlingham,20719
2025-01-18,The Deer Days of Knebworth (14 miles),106.0,305434523,Free,gpx\07\Stevenage_Circular.gpx,Stevenage,Stevenage,24619
2025-01-25,"Halley's comet along the Thames (8, 11, 13 or 15 miles) ",147.0,305569169,Free,gpx\01\Abbey_Wood_to_Lewisham_time-corrected_snipped.gpx,Abbey Wood (London),LEWISHAM - DLR,26271
